2023-02-15 03:44:23,515 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-15 04:14:31,669 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 04:14:31,670 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 04:14:31,670 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:14:34,250 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:15:09,548 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 04:15:09,550 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 04:15:09,551 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-15 04:15:17,599 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 04:15:17,600 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 04:15:17,600 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:16:16,183 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:16:18,646 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:17:44,856 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-15 04:18:05,100 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:18:07,582 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:18:39,340 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-15 04:18:49,998 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:18:52,540 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:38:02,769 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 04:38:02,773 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
